titulo,ordem,ano_estreia,ano_encerramento,episodios,classificacao_indicativa,nota_imdb,link,popularidade,id
Breaking Bad,1,2008,2013.0,62,16,9.5,https://www.imdb.com/pt/title/tt0903747/?ref_=chttvtp_i_1,18.0,1
Planeta Terra II,2,2016,,66,10,9.4,https://www.imdb.com/pt/title/tt5491994/?ref_=chttvtp_i_2,597.0,2
Planeta Terra,3,2006,,11,0,9.4,https://www.imdb.com/pt/title/tt0795176/?ref_=chttvtp_i_3,892.0,3
Irmãos de Guerra,4,2001,,10,14,9.4,https://www.imdb.com/pt/title/tt0185906/?ref_=chttvtp_i_4,159.0,4
Chernobyl,5,2019,,95,16,9.3,https://www.imdb.com/pt/title/tt7366338/?ref_=chttvtp_i_5,129.0,5
A Escuta,6,2002,2008.0,60,16,9.3,https://www.imdb.com/pt/title/tt0306414/?ref_=chttvtp_i_6,83.0,6
Avatar: A Lenda de Aang,7,2005,2008.0,62,0,9.3,https://www.imdb.com/pt/title/tt0417299/?ref_=chttvtp_i_7,274.0,7
Família Soprano,8,1999,2007.0,86,16,9.2,https://www.imdb.com/pt/title/tt0141842/?ref_=chttvtp_i_8,42.0,8
Planeta Azul II,9,2017,,77,0,9.3,https://www.imdb.com/pt/title/tt6769208/?ref_=chttvtp_i_9,1.519,9
Cosmos: Uma Odisseia do Espaço-Tempo,10,2014,,13,0,9.2,https://www.imdb.com/pt/title/tt2395695/?ref_=chttvtp_i_10,787.0,10
Cosmos,11,1980,,13,0,9.3,https://www.imdb.com/pt/title/tt0081846/?ref_=chttvtp_i_11,1.318,11
Nosso Planeta,12,2019,2023.0,12,10,9.2,https://www.imdb.com/pt/title/tt9253866/?ref_=chttvtp_i_12,1.345,12
Game of Thrones,13,2011,2019.0,74,16,9.2,https://www.imdb.com/pt/title/tt0944947/?ref_=chttvtp_i_13,21.0,13
Bluey,14,2018,,95,0,9.3,https://www.imdb.com/pt/title/tt7678620/?ref_=chttvtp_i_14,432.0,14
O Mundo em Guerra,15,1973,1974.0,26,0,9.2,https://www.imdb.com/pt/title/tt0071075/?ref_=chttvtp_i_15,1.211,15
Fullmetal Alchemist: Brotherhood,16,2009,2010.0,68,14,9.1,https://www.imdb.com/pt/title/tt1355642/?ref_=chttvtp_i_16,317.0,16
Vida,17,2009,,11,0,9.1,https://www.imdb.com/pt/title/tt1533395/?ref_=chttvtp_i_17,1.084,17
Attack on Titan,18,2013,2023.0,98,18,9.1,https://www.imdb.com/pt/title/tt2560140/?ref_=chttvtp_i_18,50.0,18
Arremesso Final,19,2020,,10,16,9.0,https://www.imdb.com/pt/title/tt8420184/?ref_=chttvtp_i_19,786.0,19
Rick e Morty,20,2013,,85,16,9.0,https://www.imdb.com/pt/title/tt2861424/?ref_=chttvtp_i_20,109.0,20
Além da Imaginação,21,1959,1964.0,56,12,9.0,https://www.imdb.com/pt/title/tt0052520/?ref_=chttvtp_i_21,262.0,21
A Guerra do Vietnã,22,2017,,10,0,9.1,https://www.imdb.com/pt/title/tt1877514/?ref_=chttvtp_i_22,858.0,22
Sherlock,23,2010,2017.0,15,14,9.0,https://www.imdb.com/pt/title/tt1475582/?ref_=chttvtp_i_23,155.0,23
Batman: A Série Animada,24,1992,1995.0,85,0,9.0,https://www.imdb.com/pt/title/tt0103359/?ref_=chttvtp_i_24,427.0,24
Dexter: Ressurreição,25,2025,,11,18,9.1,https://www.imdb.com/pt/title/tt33043892/?ref_=chttvtp_i_25,24.0,25
Better Call Saul,26,2015,2022.0,63,14,9.0,https://www.imdb.com/pt/title/tt3032476/?ref_=chttvtp_i_26,51.0,26
Arcane,27,2021,2024.0,18,14,9.0,https://www.imdb.com/pt/title/tt11126994/?ref_=chttvtp_i_27,185.0,27
The Office - Vida de Escritório,28,2005,2013.0,88,12,9.0,https://www.imdb.com/pt/title/tt0386676/?ref_=chttvtp_i_28,62.0,28
Planeta Azul,29,2001,,18,0,9.0,https://www.imdb.com/pt/title/tt0296310/?ref_=chttvtp_i_29,2.542,29
Na Fazenda com Clarkson,30,2021,,33,12,9.0,https://www.imdb.com/pt/title/tt10541088/?ref_=chttvtp_i_30,611.0,30
Scam 1992: The Harshad Mehta Story,31,2020,,10,16,9.2,https://www.imdb.com/pt/title/tt12392504/?ref_=chttvtp_i_31,752.0,31
Planeta Gelado,32,2011,2012.0,10,0,9.0,https://www.imdb.com/pt/title/tt2092588/?ref_=chttvtp_i_32,2.16,32
Planeta Humano,33,2011,,18,0,9.0,https://www.imdb.com/pt/title/tt1806234/?ref_=chttvtp_i_33,2.747,33
Hunter x Hunter,34,2011,2014.0,48,14,9.0,https://www.imdb.com/pt/title/tt2098220/?ref_=chttvtp_i_34,325.0,34
Only Fools and Horses,35,1981,2003.0,64,0,9.0,https://www.imdb.com/pt/title/tt0081912/?ref_=chttvtp_i_35,711.0,35
Firefly,36,2002,2003.0,14,14,8.9,https://www.imdb.com/pt/title/tt0303461/?ref_=chttvtp_i_36,341.0,36
The Civil War,37,1990,,9,14,9.0,https://www.imdb.com/pt/title/tt0098769/?ref_=chttvtp_i_37,1.454,37
Death Note,38,2006,2007.0,37,18,8.9,https://www.imdb.com/pt/title/tt0877057/?ref_=chttvtp_i_38,292.0,38
Gravity Falls: Um Verão de Mistérios,39,2012,2016.0,41,0,8.9,https://www.imdb.com/pt/title/tt1865718/?ref_=chttvtp_i_39,484.0,39
Gibi,40,2021,2025.0,68,0,9.0,https://www.imdb.com/pt/title/tt13675832/?ref_=chttvtp_i_40,607.0,40
The Pitt,41,2025,,30,14,8.9,https://www.imdb.com/pt/title/tt31938062/?ref_=chttvtp_i_41,25.0,41
Seinfeld,42,1989,1998.0,72,0,8.9,https://www.imdb.com/pt/title/tt0098904/?ref_=chttvtp_i_42,191.0,42
Decálogo,43,1989,1990.0,10,16,8.9,https://www.imdb.com/pt/title/tt0092337/?ref_=chttvtp_i_43,1.103,43
The Beatles: Get Back,44,2021,,13,0,8.9,https://www.imdb.com/pt/title/tt9735318/?ref_=chttvtp_i_44,1.766,44
Cowboy Bebop,45,1998,1999.0,26,16,8.9,https://www.imdb.com/pt/title/tt0213338/?ref_=chttvtp_i_45,639.0,45
Nathan for You,46,2013,2017.0,32,14,8.9,https://www.imdb.com/pt/title/tt2297757/?ref_=chttvtp_i_46,1.11,46
True Detective,47,2014,,31,16,8.9,https://www.imdb.com/pt/title/tt2356777/?ref_=chttvtp_i_47,61.0,47
Taskmaster,48,2015,,92,14,9.0,https://www.imdb.com/pt/title/tt4934214/?ref_=chttvtp_i_48,441.0,48
Fargo,49,2014,2024.0,51,16,8.8,https://www.imdb.com/pt/title/tt2802850/?ref_=chttvtp_i_49,102.0,49
Frieren e a Jornada para o Além,50,2023,,29,14,8.9,https://www.imdb.com/pt/title/tt22248376/?ref_=chttvtp_i_50,399.0,50
Sahsiyet,51,2018,2024.0,22,0,8.9,https://www.imdb.com/pt/title/tt7920978/?ref_=chttvtp_i_51,928.0,51
Apocalipse: Redescobrindo a Segunda Guerra Mundial,52,2009,,96,16,9.0,https://www.imdb.com/pt/title/tt1508238/?ref_=chttvtp_i_52,1.887,52
África,53,2013,,37,0,8.9,https://www.imdb.com/pt/title/tt2571774/?ref_=chttvtp_i_53,3.051,53
Olhos que Condenam,54,2019,,94,16,8.8,https://www.imdb.com/pt/title/tt7137906/?ref_=chttvtp_i_54,714.0,54
Friends,55,1994,2004.0,35,12,8.9,https://www.imdb.com/pt/title/tt0108778/?ref_=chttvtp_i_55,94.0,55
Last Week Tonight with John Oliver,56,2014,,95,14,8.8,https://www.imdb.com/pt/title/tt3530232/?ref_=chttvtp_i_56,1.111,56
It's Always Sunny in Philadelphia,57,2005,,78,16,8.8,https://www.imdb.com/pt/title/tt0472954/?ref_=chttvtp_i_57,92.0,57
West Wing: Nos Bastidores do Poder,58,1999,2006.0,55,12,8.9,https://www.imdb.com/pt/title/tt0200276/?ref_=chttvtp_i_58,277.0,58
One Piece,59,1999,1163.0,63,12,9.0,https://www.imdb.com/pt/title/tt0388629/?ref_=chttvtp_i_59,37.0,59
Succession,60,2018,2023.0,39,16,8.8,https://www.imdb.com/pt/title/tt7660850/?ref_=chttvtp_i_60,98.0,60
TVF Pitchers,61,2015,2022.0,10,0,9.1,https://www.imdb.com/pt/title/tt4742876/?ref_=chttvtp_i_61,1.944,61
Segura a Onda,62,2000,2024.0,20,14,8.8,https://www.imdb.com/pt/title/tt0264235/?ref_=chttvtp_i_62,316.0,62
Monty Python's Flying Circus,63,1969,1974.0,45,14,8.8,https://www.imdb.com/pt/title/tt0063929/?ref_=chttvtp_i_63,2.055,63
SU-Boots: Submersos Em Guerras,64,1985,,53,14,8.8,https://www.imdb.com/pt/title/tt0081834/?ref_=chttvtp_i_64,2.119,64
BoJack Horseman,65,2014,2020.0,76,16,8.8,https://www.imdb.com/pt/title/tt3398228/?ref_=chttvtp_i_65,261.0,65
Fawlty Towers,66,1975,1979.0,12,0,8.8,https://www.imdb.com/pt/title/tt0072500/?ref_=chttvtp_i_66,630.0,66
Bleach: Thousand-Year Blood War,67,2022,,41,12,9.0,https://www.imdb.com/pt/title/tt14986406/?ref_=chttvtp_i_67,522.0,67
Panchayat,68,2020,,32,14,9.0,https://www.imdb.com/pt/title/tt12004706/?ref_=chttvtp_i_68,881.0,68
Se a Vida te Der Tangerinas...,69,2025,,16,14,9.1,https://www.imdb.com/pt/title/tt26471411/?ref_=chttvtp_i_69,371.0,69
Dragon Ball Z,70,1996,2003.0,77,12,8.8,https://www.imdb.com/pt/title/tt0214341/?ref_=chttvtp_i_70,780.0,70
Blackadder Goes Forth,71,1989,,96,0,8.8,https://www.imdb.com/pt/title/tt0096548/?ref_=chttvtp_i_71,1.835,71
The Chosen - Os Escolhidos,72,2017,,44,16,9.1,https://www.imdb.com/pt/title/tt5622316/?ref_=chttvtp_i_72,205.0,72
Leyla e Mecnun,73,2011,2023.0,44,0,9.0,https://www.imdb.com/pt/title/tt1831164/?ref_=chttvtp_i_73,1.974,73
Freaks & Geeks,74,1999,2000.0,18,12,8.8,https://www.imdb.com/pt/title/tt0193676/?ref_=chttvtp_i_74,589.0,74
Dragon Ball Z,75,1989,1996.0,91,12,8.8,https://www.imdb.com/pt/title/tt0121220/?ref_=chttvtp_i_75,1.702,75
Orgulho e Preconceito,76,1995,,56,0,8.8,https://www.imdb.com/pt/title/tt0112130/?ref_=chttvtp_i_76,696.0,76
Gullak,77,2019,,20,0,9.1,https://www.imdb.com/pt/title/tt10530900/?ref_=chttvtp_i_77,1.715,77
Vinland Saga,78,2019,2023.0,48,18,8.8,https://www.imdb.com/pt/title/tt10233448/?ref_=chttvtp_i_78,301.0,78
Twin Peaks,79,1990,1991.0,30,14,8.7,https://www.imdb.com/pt/title/tt0098936/?ref_=chttvtp_i_79,164.0,79
Chappelle's Show,80,2003,2006.0,33,16,8.8,https://www.imdb.com/pt/title/tt0353049/?ref_=chttvtp_i_80,1.785,80
Narcos,81,2015,2017.0,30,16,8.7,https://www.imdb.com/pt/title/tt2707408/?ref_=chttvtp_i_81,308.0,81
"Eu, Cláudio",82,1976,,13,0,8.8,https://www.imdb.com/pt/title/tt0074006/?ref_=chttvtp_i_82,1.878,82
South Park,83,1997,,35,16,8.7,https://www.imdb.com/pt/title/tt0121955/?ref_=chttvtp_i_83,49.0,83
Responde 1988,84,2015,2016.0,20,0,9.0,https://www.imdb.com/pt/title/tt5182866/?ref_=chttvtp_i_84,1.376,84
A Fábrica de Kota,85,2019,2021.0,15,0,9.0,https://www.imdb.com/pt/title/tt9432978/?ref_=chttvtp_i_85,1.866,85
Ted Lasso,86,2020,,44,14,8.8,https://www.imdb.com/pt/title/tt10986410/?ref_=chttvtp_i_86,87.0,86
O Segredo Além do Jardim,87,2014,,10,10,8.7,https://www.imdb.com/pt/title/tt3718778/?ref_=chttvtp_i_87,428.0,87
Black Mirror,88,2011,,33,16,8.7,https://www.imdb.com/pt/title/tt2085059/?ref_=chttvtp_i_88,57.0,88
Meu Companheiro,89,2018,,16,16,9.0,https://www.imdb.com/pt/title/tt7923710/?ref_=chttvtp_i_89,1.577,89
Steins;Gate,90,2011,2015.0,26,12,8.8,https://www.imdb.com/pt/title/tt1910272/?ref_=chttvtp_i_90,799.0,90
"Peaky Blinders: Sangue, Apostas e Navalhas",91,2013,2022.0,36,16,8.7,https://www.imdb.com/pt/title/tt2442560/?ref_=chttvtp_i_91,91.0,91
